Territorialidade,Posição IDHM,IDHM,Posição IDHM Renda,IDHM Renda,Posição IDHM Educação,IDHM Educação,Posição IDHM Longevidade,IDHM Longevidade,Posição Mulheres,IDHM Mulheres,Posição Homens,IDHM Homens,Posição Negros,IDHM Negros,Posição Brancos,IDHM Brancos,Posição Urbano,IDHM Urbano,Posição Rural,IDHM Rural
Jaraguari (MS),2802,0.664,2466,0.668,3388,0.53,1798,0.827,,,,,,,,,,,,
Mostardas (RS),2802,0.664,1547,0.701,4095,0.493,759,0.849,,,,,,,,,,,,
Jardim do Seridó (RN),2828,0.663,2883,0.647,2266,0.584,4064,0.772,,,,,,,,,,,,
Aguanil (MG),2828,0.663,2375,0.672,3737,0.513,943,0.845,,,,,,,,,,,,
Araçuaí (MG),2828,0.663,3120,0.633,2776,0.56,2112,0.821,,,,,,,,,,,,
Limoeiro (PE),2828,0.663,3204,0.628,2293,0.583,3252,0.797,,,,,,,,,,,,
Novo Machado (RS),2828,0.663,2318,0.674,3137,0.543,3292,0.796,,,,,,,,,,,,
Nova Maringá (MT),2828,0.663,1516,0.702,3814,0.509,2407,0.815,,,,,,,,,,,,
Santa Margarida do Sul (RS),2828,0.663,1858,0.691,4259,0.484,204,0.87,,,,,,,,,,,,
Conceição do Jacuípe (BA),2828,0.663,3173,0.63,2352,0.579,3167,0.799,,,,,,,,,,,,
São José dos Ausentes (RS),2828,0.663,2318,0.674,3183,0.541,3077,0.801,,,,,,,,,,,,
Onça de Pitangui (MG),2828,0.663,2908,0.646,2798,0.559,2849,0.806,,,,,,,,,,,,
Sengés (PR),2828,0.663,2685,0.658,3078,0.546,2611,0.811,,,,,,,,,,,,
Anastácio (MS),2828,0.663,2592,0.663,2844,0.557,3540,0.789,,,,,,,,,,,,
Espera Feliz (MG),2828,0.663,2592,0.663,3593,0.52,901,0.846,,,,,,,,,,,,
São Francisco do Glória (MG),2828,0.663,2883,0.647,3183,0.541,1515,0.833,,,,,,,,,,,,
Aliança do Tocantins (TO),2828,0.663,3478,0.61,2035,0.596,3077,0.801,,,,,,,,,,,,
Vargem Alta (ES),2828,0.663,2685,0.658,3122,0.544,2453,0.814,,,,,,,,,,,,
Miradouro (MG),2828,0.663,2924,0.645,3078,0.546,1798,0.827,,,,,,,,,,,,
Floriano Peixoto (RS),2828,0.663,1547,0.701,4231,0.486,581,0.854,,,,,,,,,,,,
Barcarena (PA),2846,0.662,2971,0.643,2690,0.564,3077,0.801,,,,,,,,,,,,
Juruena (MT),2846,0.662,2883,0.647,2707,0.563,3252,0.797,,,,,,,,,,,,
Nova União (MG),2846,0.662,3261,0.624,2600,0.568,2259,0.818,,,,,,,,,,,,
São Cristóvão (SE),2846,0.662,3261,0.624,2322,0.581,3129,0.8,,,,,,,,,,,,
Três Forquilhas (RS),2846,0.662,2626,0.661,3223,0.539,2504,0.813,,,,,,,,,,,,
Ecoporanga (ES),2846,0.662,3155,0.631,2729,0.562,2216,0.819,,,,,,,,,,,,
Miranorte (TO),2846,0.662,3120,0.633,2531,0.571,2940,0.804,,,,,,,,,,,,
Vila Nova do Sul (RS),2846,0.662,2924,0.645,3122,0.544,1798,0.827,,,,,,,,,,,,
Conselheiro Pena (MG),2846,0.662,2908,0.646,3249,0.537,1315,0.837,,,,,,,,,,,,
Santa Tereza do Tocantins (TO),2846,0.662,3354,0.618,2457,0.575,2307,0.817,,,,,,,,,,,,
Jacuizinho (RS),2846,0.662,817,0.73,4216,0.487,2307,0.817,,,,,,,,,,,,
Macieira (SC),2846,0.662,2295,0.675,3328,0.533,2849,0.806,,,,,,,,,,,,
São Joaquim de Bicas (MG),2846,0.662,2562,0.664,3634,0.518,986,0.844,,,,,,,,,,,,
São Tiago (MG),2846,0.662,2647,0.66,3328,0.533,1905,0.825,,,,,,,,,,,,
Barra do Quaraí (RS),2846,0.662,2667,0.659,3029,0.548,3026,0.802,,,,,,,,,,,,
Rosário da Limeira (MG),2846,0.662,2789,0.653,3029,0.548,2562,0.812,,,,,,,,,,,,
Sooretama (ES),2846,0.662,2842,0.65,2866,0.556,3026,0.802,,,,,,,,,,,,
Rosário do Ivaí (PR),2846,0.662,3048,0.638,2399,0.577,3570,0.788,,,,,,,,,,,,
Cariri do Tocantins (TO),2846,0.662,3034,0.639,3011,0.549,1846,0.826,,,,,,,,,,,,
Iguatemi (MS),2846,0.662,2405,0.671,3388,0.53,2307,0.817,,,,,,,,,,,,
Jaú do Tocantins (TO),2846,0.662,2375,0.672,3402,0.529,2407,0.815,,,,,,,,,,,,
Mato Verde (MG),2846,0.662,3562,0.604,1766,0.61,3540,0.789,,,,,,,,,,,,
Nazaré da Mata (PE),2846,0.662,3506,0.608,1880,0.604,3540,0.789,,,,,,,,,,,,
Cacique Doble (RS),2846,0.662,2230,0.677,3419,0.528,2661,0.81,,,,,,,,,,,,
Pau D'Arco (TO),2870,0.661,3304,0.621,2210,0.587,3428,0.792,,,,,,,,,,,,
Capela de Santana (RS),2870,0.661,2295,0.675,3480,0.525,2357,0.816,,,,,,,,,,,,
Alto Caparaó (MG),2870,0.661,2513,0.666,3716,0.514,1075,0.842,,,,,,,,,,,,
Nova Rosalândia (TO),2870,0.661,3934,0.582,1433,0.628,3475,0.791,,,,,,,,,,,,
São Gonçalo do Amarante (RN),2870,0.661,3334,0.619,2690,0.564,1704,0.829,,,,,,,,,,,,
Bom Jesus do Araguaia (MT),2870,0.661,2535,0.665,2888,0.555,3670,0.784,,,,,,,,,,,,
Brunópolis (SC),2870,0.661,2908,0.646,3100,0.545,2216,0.819,,,,,,,,,,,,
Pinheiro Machado (RS),2870,0.661,2020,0.685,3988,0.499,901,0.846,,,,,,,,,,,,
Esperança do Sul (RS),2870,0.661,2535,0.665,2988,0.55,3570,0.788,,,,,,,,,,,,
Serra Talhada (PE),2870,0.661,3140,0.632,2531,0.571,3129,0.8,,,,,,,,,,,,
Itapirapuã Paulista (SP),2870,0.661,3695,0.595,2065,0.594,2357,0.816,,,,,,,,,,,,
Cerro Branco (RS),2870,0.661,2405,0.671,3434,0.527,2357,0.816,,,,,,,,,,,,
Lajinha (MG),2870,0.661,2667,0.659,3183,0.541,2661,0.81,,,,,,,,,,,,
Teresina de Goiás (GO),2870,0.661,3235,0.626,2690,0.564,2307,0.817,,,,,,,,,,,,
Fontoura Xavier (RS),2870,0.661,2466,0.668,3348,0.532,2562,0.812,,,,,,,,,,,,
Senador Amaral (MG),2870,0.661,3279,0.623,2690,0.564,2112,0.821,,,,,,,,,,,,
Açu (RN),2870,0.661,3000,0.641,2600,0.568,3329,0.795,,,,,,,,,,,,
Pantano Grande (RS),2870,0.661,2266,0.676,3502,0.524,2357,0.816,,,,,,,,,,,,
Campo Limpo de Goiás (GO),2870,0.661,2767,0.654,3328,0.533,1704,0.829,,,,,,,,,,,,
Toledo (MG),2870,0.661,2647,0.66,3078,0.546,3026,0.802,,,,,,,,,,,,
Jeceaba (MG),2870,0.661,3190,0.629,3122,0.544,986,0.844,,,,,,,,,,,,
Riozinho (RS),2870,0.661,1890,0.69,4487,0.472,40,0.885,,,,,,,,,,,,
Divino das Laranjeiras (MG),2870,0.661,3261,0.624,2531,0.571,2611,0.811,,,,,,,,,,,,
Indiavaí (MT),2870,0.661,2924,0.645,3328,0.533,1128,0.841,,,,,,,,,,,,
São José do Povo (MT),2870,0.661,3173,0.63,2399,0.577,3400,0.793,,,,,,,,,,,,
Propriá (SE),2870,0.661,3190,0.629,2084,0.593,3897,0.776,,,,,,,,,,,,
São Raimundo Nonato (PI),2870,0.661,3155,0.631,2210,0.587,3775,0.779,,,,,,,,,,,,
Aracitaba (MG),2870,0.661,3506,0.608,2399,0.577,1987,0.823,,,,,,,,,,,,
Barra do Chapéu (SP),2898,0.66,3368,0.617,1977,0.599,3775,0.779,,,,,,,,,,,,
São José do Vale do Rio Preto (RJ),2898,0.66,2428,0.67,3328,0.533,2849,0.806,,,,,,,,,,,,
São Sebastião da Vargem Alegre (MG),2898,0.66,3155,0.631,2953,0.552,1798,0.827,,,,,,,,,,,,
São Pedro da Cipa (MT),2898,0.66,2767,0.654,2866,0.556,3511,0.79,,,,,,,,,,,,
Satuba (AL),2898,0.66,3334,0.619,2245,0.585,3362,0.794,,,,,,,,,,,,
Alvorada do Norte (GO),2898,0.66,3021,0.64,3029,0.548,2216,0.819,,,,,,,,,,,,
Extremoz (RN),2898,0.66,3021,0.64,2888,0.555,2754,0.808,,,,,,,,,,,,
Bom Jesus do Tocantins (TO),2898,0.66,3304,0.621,2888,0.555,1515,0.833,,,,,,,,,,,,
Muritiba (BA),2898,0.66,3190,0.629,2490,0.573,3292,0.796,,,,,,,,,,,,
Bom Sucesso de Itararé (SP),2898,0.66,3550,0.605,1712,0.613,3948,0.775,,,,,,,,,,,,
Belmiro Braga (MG),2898,0.66,2789,0.653,3368,0.531,1647,0.83,,,,,,,,,,,,
Cerro Grande do Sul (RS),2898,0.66,2343,0.673,3988,0.499,551,0.855,,,,,,,,,,,,
Cordislândia (MG),2898,0.66,2767,0.654,3122,0.544,2805,0.807,,,,,,,,,,,,
Seritinga (MG),2898,0.66,2709,0.657,3753,0.512,610,0.853,,,,,,,,,,,,
Figueirão (MS),2898,0.66,2230,0.677,3774,0.511,1647,0.83,,,,,,,,,,,,
Alto Jequitibá (MG),2898,0.66,2647,0.66,2908,0.554,3594,0.787,,,,,,,,,,,,
São Francisco de Paula (MG),2898,0.66,2647,0.66,3249,0.537,2562,0.812,,,,,,,,,,,,
Imbituva (PR),2898,0.66,2119,0.681,3814,0.509,1747,0.828,,,,,,,,,,,,
Avelinópolis (GO),2898,0.66,2090,0.682,3832,0.508,1747,0.828,,,,,,,,,,,,
Agudos do Sul (PR),2898,0.66,2405,0.671,3137,0.543,3511,0.79,,,,,,,,,,,,
Cocalinho (MT),2898,0.66,2318,0.674,3419,0.528,2805,0.807,,,,,,,,,,,,
Cristal do Sul (RS),2898,0.66,3000,0.641,3163,0.542,1846,0.826,,,,,,,,,,,,
Bom Jardim (RJ),2898,0.66,1372,0.707,3925,0.503,2696,0.809,,,,,,,,,,,,
Palmas (PR),2898,0.66,1967,0.687,3883,0.505,1798,0.827,,,,,,,,,,,,
Ipuaçu (SC),2898,0.66,2318,0.674,3207,0.54,3511,0.79,,,,,,,,,,,,
Lavandeira (TO),2898,0.66,3649,0.598,1593,0.62,3948,0.775,,,,,,,,,,,,
Timbó Grande (SC),2924,0.659,3109,0.634,2671,0.565,3214,0.798,,,,,,,,,,,,
Posse (GO),2924,0.659,2667,0.659,3388,0.53,2216,0.819,,,,,,,,,,,,
Varre-Sai (RJ),2924,0.659,3079,0.636,2888,0.555,2661,0.81,,,,,,,,,,,,
Duas Barras (RJ),2924,0.659,2230,0.677,3300,0.534,3511,0.79,,,,,,,,,,,,
Leopoldo de Bulhões (GO),2924,0.659,2535,0.665,3402,0.529,2562,0.812,,,,,,,,,,,,
Gameleira de Goiás (GO),2924,0.659,1817,0.692,3988,0.499,1747,0.828,,,,,,,,,,,,
Couto de Magalhães de Minas (MG),2924,0.659,3623,0.6,2111,0.592,2805,0.807,,,,,,,,,,,,
Jaguarari (BA),2924,0.659,2952,0.644,2967,0.551,2849,0.806,,,,,,,,,,,,
São Pedro dos Ferros (MG),2924,0.659,3155,0.631,2427,0.576,3540,0.789,,,,,,,,,,,,
Quixadá (CE),2924,0.659,3753,0.592,1517,0.624,3948,0.775,,,,,,,,,,,,
Maranguape (CE),2924,0.659,3834,0.587,1633,0.618,3570,0.788,,,,,,,,,,,,
Passos Maia (SC),2924,0.659,2871,0.648,3053,0.547,2754,0.808,,,,,,,,,,,,
Tucumã (PA),2924,0.659,2428,0.67,3480,0.525,2504,0.813,,,,,,,,,,,,
Fortaleza do Tabocão (TO),2924,0.659,3386,0.616,2457,0.575,2754,0.808,,,,,,,,,,,,
Pacajus (CE),2924,0.659,3492,0.609,2035,0.596,3570,0.788,,,,,,,,,,,,
Santa Isabel do Pará (PA),2924,0.659,3293,0.622,2427,0.576,3214,0.798,,,,,,,,,,,,
Sandolândia (TO),2924,0.659,3235,0.626,2377,0.578,3475,0.791,,,,,,,,,,,,
Monte Azul (MG),2924,0.659,3465,0.611,2377,0.578,2611,0.811,,,,,,,,,,,,
Estreito (MA),2924,0.659,2513,0.666,3270,0.536,3129,0.8,,,,,,,,,,,,
Carnaúba dos Dantas (RN),2924,0.659,3261,0.624,2399,0.577,3292,0.796,,,,,,,,,,,,
Japeri (RJ),2924,0.659,3068,0.637,2888,0.555,2696,0.809,,,,,,,,,,,,
Segredo (RS),2924,0.659,2343,0.673,3480,0.525,2611,0.811,,,,,,,,,,,,
Nova Cantu (PR),2946,0.658,2908,0.646,2816,0.558,3428,0.792,,,,,,,,,,,,
Minduri (MG),2946,0.658,3155,0.631,2776,0.56,2899,0.805,,,,,,,,,,,,
Oiapoque (AP),2946,0.658,1797,0.693,3434,0.527,3775,0.779,,,,,,,,,,,,
Horizonte (CE),2946,0.658,3716,0.594,1766,0.61,3570,0.788,,,,,,,,,,,,
Grandes Rios (PR),2946,0.658,2861,0.649,2988,0.55,3167,0.799,,,,,,,,,,,,
Januária (MG),2946,0.658,3465,0.611,2600,0.568,2161,0.82,,,,,,,,,,,,
Jaboticaba (RS),2946,0.658,3079,0.636,3053,0.547,2161,0.82,,,,,,,,,,,,
Terenos (MS),2946,0.658,2822,0.651,3571,0.521,1238,0.839,,,,,,,,,,,,
Jesuânia (MG),2946,0.658,2295,0.675,3847,0.507,1603,0.831,,,,,,,,,,,,
Bueno Brandão (MG),2946,0.658,2613,0.662,3847,0.507,792,0.848,,,,,,,,,,,,
Piratini (RS),2946,0.658,2375,0.672,3658,0.517,2112,0.821,,,,,,,,,,,,
Novo Planalto (GO),2946,0.658,3279,0.623,2988,0.55,1603,0.831,,,,,,,,,,,,
São José do Divino (MG),2946,0.658,3220,0.627,2293,0.583,3831,0.778,,,,,,,,,,,,
Parintins (AM),2946,0.658,3796,0.589,1857,0.605,3129,0.8,,,,,,,,,,,,
Caseara (TO),2946,0.658,2883,0.647,3300,0.534,1905,0.825,,,,,,,,,,,,
Colinas do Sul (GO),2946,0.658,3120,0.633,3011,0.549,2161,0.82,,,,,,,,,,,,
Castanheiras (RO),2946,0.658,2842,0.65,3053,0.547,2990,0.803,,,,,,,,,,,,
Inhapim (MG),2946,0.658,2984,0.642,3292,0.535,1704,0.829,,,,,,,,,,,,
Santo Hipólito (MG),2964,0.657,3000,0.641,3270,0.536,1951,0.824,,,,,,,,,,,,
Matos Costa (SC),2964,0.657,3173,0.63,3183,0.541,1603,0.831,,,,,,,,,,,,
São José do Mantimento (MG),2964,0.657,3454,0.612,2729,0.562,1987,0.823,,,,,,,,,,,,
Itacurubi (RS),2964,0.657,1817,0.692,3814,0.509,2940,0.804,,,,,,,,,,,,
Aguiarnópolis (TO),2964,0.657,3354,0.618,2531,0.571,2940,0.804,,,,,,,,,,,,
Redenção da Serra (SP),2964,0.657,3120,0.633,2776,0.56,3167,0.799,,,,,,,,,,,,
Ibertioga (MG),2964,0.657,3538,0.606,2776,0.56,1464,0.834,,,,,,,,,,,,
Divinésia (MG),2964,0.657,2924,0.645,2798,0.559,3649,0.785,,,,,,,,,,,,
São José do Xingu (MT),2964,0.657,1473,0.703,4216,0.487,1747,0.828,,,,,,,,,,,,
Guajará-Mirim (RO),2964,0.657,2592,0.663,3618,0.519,1987,0.823,,,,,,,,,,,,
Arroio Grande (RS),2964,0.657,2343,0.673,3549,0.522,2805,0.807,,,,,,,,,,,,
Presidente Kennedy (ES),2964,0.657,3079,0.636,2924,0.553,2754,0.808,,,,,,,,,,,,
Encruzilhada do Sul (RS),2964,0.657,2230,0.677,4373,0.478,128,0.875,,,,,,,,,,,,
Mantenópolis (ES),2964,0.657,3079,0.636,2967,0.551,2661,0.81,,,,,,,,,,,,
São Sebastião do Passé (BA),2964,0.657,3120,0.633,2967,0.551,2562,0.812,,,,,,,,,,,,
Heliodora (MG),2964,0.657,2732,0.656,3434,0.527,2064,0.822,,,,,,,,,,,,
Entre Rios (SC),2964,0.657,3048,0.638,2988,0.55,2754,0.808,,,,,,,,,,,,
Cocalzinho de Goiás (GO),2964,0.657,2871,0.648,3368,0.531,1846,0.826,,,,,,,,,,,,
Tianguá (CE),2964,0.657,3204,0.628,2210,0.587,4204,0.768,,,,,,,,,,,,
Afogados da Ingazeira (PE),2964,0.657,3279,0.623,2671,0.565,2805,0.807,,,,,,,,,,,,
Marliéria (MG),2964,0.657,3190,0.629,3249,0.537,1281,0.838,,,,,,,,,,,,
Tunas (RS),2964,0.657,2667,0.659,3183,0.541,3362,0.794,,,,,,,,,,,,
Augusto de Lima (MG),2986,0.656,3293,0.622,2844,0.557,2407,0.815,,,,,,,,,,,,
Pescador (MG),2986,0.656,3403,0.615,2953,0.552,1603,0.831,,,,,,,,,,,,
Santo Antônio do Leverger (MT),2986,0.656,2822,0.651,3223,0.539,2849,0.806,,,,,,,,,,,,
Brejetuba (ES),2986,0.656,3173,0.63,3207,0.54,1747,0.828,,,,,,,,,,,,
Planalto da Serra (MT),2986,0.656,3403,0.615,2671,0.565,2504,0.813,,,,,,,,,,,,
Tavares (RS),2986,0.656,1817,0.692,4116,0.492,1747,0.828,,,,,,,,,,,,
Curiúva (PR),2986,0.656,2861,0.649,3078,0.546,3329,0.795,,,,,,,,,,,,
Mesquita (MG),2986,0.656,3048,0.638,2888,0.555,3292,0.796,,,,,,,,,,,,
Antônio Olinto (PR),2986,0.656,3235,0.626,3053,0.547,1905,0.825,,,,,,,,,,,,
Serro (MG),2986,0.656,2842,0.65,3593,0.52,1464,0.834,,,,,,,,,,,,
Cordisburgo (MG),2986,0.656,2952,0.644,2816,0.558,3629,0.786,,,,,,,,,,,,
Arinos (MG),2986,0.656,3524,0.607,2557,0.57,2407,0.815,,,,,,,,,,,,
Brumado (BA),2986,0.656,3173,0.63,2908,0.554,2805,0.807,,,,,,,,,,,,
Itaúna do Sul (PR),2986,0.656,2822,0.651,3137,0.543,3214,0.798,,,,,,,,,,,,
Ferreira Gomes (AP),2986,0.656,3095,0.635,3163,0.542,2161,0.82,,,,,,,,,,,,
Laranja da Terra (ES),2986,0.656,3120,0.633,2988,0.55,2661,0.81,,,,,,,,,,,,
Vale de São Domingos (MT),2986,0.656,2685,0.658,2776,0.56,4304,0.765,,,,,,,,,,,,
Brasília de Minas (MG),2986,0.656,3454,0.612,2600,0.568,2504,0.813,,,,,,,,,,,,
Campo Maior (PI),2986,0.656,3190,0.629,2654,0.566,3400,0.793,,,,,,,,,,,,
Itaiçaba (CE),2986,0.656,3955,0.581,1157,0.642,4509,0.758,,,,,,,,,,,,
Mata (RS),2986,0.656,2647,0.66,3402,0.529,2805,0.807,,,,,,,,,,,,
Rio dos Índios (RS),2986,0.656,2924,0.645,3100,0.545,2940,0.804,,,,,,,,,,,,
Pedra Dourada (MG),3008,0.655,3155,0.631,3223,0.539,1798,0.827,,,,,,,,,,,,
Manoel Viana (RS),3008,0.655,1996,0.686,3300,0.534,4272,0.766,,,,,,,,,,,,
Aracati (CE),3008,0.655,3524,0.607,1517,0.624,4936,0.742,,,,,,,,,,,,
Nova Iguaçu de Goiás (GO),3008,0.655,2984,0.642,3207,0.54,2562,0.812,,,,,,,,,,,,
Capanema (PA),3008,0.655,3478,0.61,2338,0.58,3362,0.794,,,,,,,,,,,,
Baliza (GO),3008,0.655,3419,0.614,2816,0.558,2216,0.819,,,,,,,,,,,,
Chalé (MG),3008,0.655,3079,0.636,2757,0.561,3594,0.787,,,,,,,,,,,,
Sapopema (PR),3008,0.655,1741,0.695,3814,0.509,3329,0.795,,,,,,,,,,,,
Boa Ventura de São Roque (PR),3008,0.655,3095,0.635,2924,0.553,3026,0.802,,,,,,,,,,,,
Carmo da Cachoeira (MG),3008,0.655,2375,0.672,3522,0.523,3077,0.801,,,,,,,,,,,,
Engenheiro Navarro (MG),3008,0.655,3637,0.599,2065,0.594,3475,0.791,,,,,,,,,,,,
Belo Vale (MG),3008,0.655,2375,0.672,3716,0.514,2453,0.814,,,,,,,,,,,,
Funilândia (MG),3008,0.655,3454,0.612,3100,0.545,986,0.844,,,,,,,,,,,,
Santo Antônio do Leste (MT),3008,0.655,2685,0.658,3961,0.501,610,0.853,,,,,,,,,,,,
Vitória das Missões (RS),3008,0.655,2667,0.659,3458,0.526,2696,0.809,,,,,,,,,,,,
Tesouro (MT),3008,0.655,3095,0.635,2776,0.56,3475,0.791,,,,,,,,,,,,
São João da Baliza (RR),3008,0.655,3419,0.614,2210,0.587,3751,0.78,,,,,,,,,,,,
São João do Sabugi (RN),3008,0.655,3322,0.62,2322,0.581,3775,0.779,,,,,,,,,,,,
Raul Soares (MG),3008,0.655,2685,0.658,3593,0.52,1987,0.823,,,,,,,,,,,,
Natividade da Serra (SP),3008,0.655,2562,0.664,3593,0.52,2453,0.814,,,,,,,,,,,,
Lamim (MG),3008,0.655,3279,0.623,3078,0.546,1747,0.828,,,,,,,,,,,,
Mandirituba (PR),3008,0.655,2230,0.677,3696,0.515,2805,0.807,,,,,,,,,,,,
Silva Jardim (RJ),3030,0.654,2709,0.657,3270,0.536,3400,0.793,,,,,,,,,,,,
Pinhão (PR),3030,0.654,2861,0.649,3300,0.534,2849,0.806,,,,,,,,,,,,
Itapiranga (AM),3030,0.654,3716,0.594,2065,0.594,3428,0.792,,,,,,,,,,,,
Saltinho (SC),3030,0.654,3034,0.639,2967,0.551,3329,0.795,,,,,,,,,,,,
Itaporã (MS),3030,0.654,2647,0.66,3522,0.523,2696,0.809,,,,,,,,,,,,
Nova Viçosa (BA),3030,0.654,2709,0.657,3078,0.546,3751,0.78,,,,,,,,,,,,
Cruzeta (RN),3030,0.654,3590,0.602,1577,0.621,4794,0.748,,,,,,,,,,,,
Tanguá (RJ),3030,0.654,2952,0.644,3029,0.548,3400,0.793,,,,,,,,,,,,
Francisco Sá (MG),3030,0.654,3550,0.605,2509,0.572,2754,0.808,,,,,,,,,,,,
Portelândia (GO),3030,0.654,2149,0.68,3737,0.513,2990,0.803,,,,,,,,,,,,
Campos Verdes (GO),3030,0.654,3506,0.608,2399,0.577,3292,0.796,,,,,,,,,,,,
Dezesseis de Novembro (RS),3030,0.654,3247,0.625,2924,0.553,2696,0.809,,,,,,,,,,,,
Capão Alto (SC),3030,0.654,2149,0.68,3675,0.516,3292,0.796,,,,,,,,,,,,
Damianópolis (GO),3030,0.654,3419,0.614,2816,0.558,2407,0.815,,,,,,,,,,,,
Rafael Godeiro (RN),3030,0.654,3908,0.583,1822,0.607,3540,0.789,,,,,,,,,,,,
Itapemirim (ES),3030,0.654,3021,0.64,3207,0.54,2754,0.808,,,,,,,,,,,,
Sem-Peixe (MG),3030,0.654,3279,0.623,3137,0.543,1846,0.826,,,,,,,,,,,,
Galiléia (MG),3030,0.654,2924,0.645,3078,0.546,3329,0.795,,,,,,,,,,,,
Talismã (TO),3030,0.654,2767,0.654,3292,0.535,3077,0.801,,,,,,,,,,,,
Santa Cruz Cabrália (BA),3030,0.654,3261,0.624,2531,0.571,3670,0.784,,,,,,,,,,,,
Dores do Rio Preto (ES),3030,0.654,3095,0.635,3163,0.542,2504,0.813,,,,,,,,,,,,
São João do Jaguaribe (CE),3030,0.654,3322,0.62,2427,0.576,3670,0.784,,,,,,,,,,,,
Abre Campo (MG),3030,0.654,2908,0.646,3480,0.525,1987,0.823,,,,,,,,,,,,
Iapu (MG),3030,0.654,3034,0.639,3292,0.535,2216,0.819,,,,,,,,,,,,
Pedro Canário (ES),3030,0.654,2971,0.643,3270,0.536,2562,0.812,,,,,,,,,,,,
Epitaciolândia (AC),3055,0.653,2767,0.654,2924,0.553,4100,0.771,,,,,,,,,,,,
Novo Santo Antônio (MT),3055,0.653,3021,0.64,3458,0.526,1704,0.829,,,,,,,,,,,,
Rio Rufino (SC),3055,0.653,2807,0.652,3388,0.53,2849,0.806,,,,,,,,,,,,
Bom Repouso (MG),3055,0.653,2883,0.647,3522,0.523,2112,0.821,,,,,,,,,,,,
Ritápolis (MG),3055,0.653,2861,0.649,3458,0.526,2407,0.815,,,,,,,,,,,,
Presidente Dutra (MA),3055,0.653,3204,0.628,2707,0.563,3570,0.788,,,,,,,,,,,,
Santa Amélia (PR),3055,0.653,2747,0.655,3458,0.526,2696,0.809,,,,,,,,,,,,
Itabirinha (MG),3055,0.653,3247,0.625,3368,0.531,1281,0.838,,,,,,,,,,,,
Capelinha (MG),3055,0.653,3000,0.641,3434,0.527,1951,0.824,,,,,,,,,,,,
Campestre de Goiás (GO),3055,0.653,3204,0.628,2866,0.556,3167,0.799,,,,,,,,,,,,
Ilha de Itamaracá (PE),3055,0.653,3220,0.627,3029,0.548,2696,0.809,,,,,,,,,,,,
Divinópolis de Goiás (GO),3055,0.653,3261,0.624,2988,0.55,2504,0.813,,,,,,,,,,,,
Trombas (GO),3055,0.653,3204,0.628,3053,0.547,2562,0.812,,,,,,,,,,,,
São João da Mata (MG),3055,0.653,2266,0.676,3961,0.501,2064,0.822,,,,,,,,,,,,
São Lourenço da Mata (PE),3055,0.653,3419,0.614,2531,0.571,3400,0.793,,,,,,,,,,,,
Chupinguaia (RO),3070,0.652,2667,0.659,3716,0.514,2161,0.82,,,,,,,,,,,,
Guarará (MG),3070,0.652,2842,0.65,3348,0.532,3026,0.802,,,,,,,,,,,,
Ipiranga (PR),3070,0.652,2035,0.684,4183,0.489,1747,0.828,,,,,,,,,,,,
Campestre do Maranhão (MA),3070,0.652,3465,0.611,2233,0.586,3987,0.774,,,,,,,,,,,,
Jijoca de Jericoacoara (CE),3070,0.652,3419,0.614,1492,0.625,5254,0.723,,,,,,,,,,,,
Ibarama (RS),3070,0.652,1996,0.686,3774,0.511,3428,0.792,,,,,,,,,,,,
Água Doce do Norte (ES),3070,0.652,3334,0.619,3078,0.546,2216,0.819,,,,,,,,,,,,
General Carneiro (PR),3070,0.652,3048,0.638,3348,0.532,2357,0.816,,,,,,,,,,,,
São José de Ubá (RJ),3070,0.652,3120,0.633,3029,0.548,3214,0.798,,,,,,,,,,,,
Poconé (MT),3070,0.652,2971,0.643,3300,0.534,2849,0.806,,,,,,,,,,,,
Casa Grande (MG),3070,0.652,3506,0.608,2888,0.555,1987,0.823,,,,,,,,,,,,
Sério (RS),3070,0.652,1741,0.695,4502,0.471,846,0.847,,,,,,,,,,,,
Porto Esperidião (MT),3070,0.652,2513,0.666,3522,0.523,3329,0.795,,,,,,,,,,,,
Mauá da Serra (PR),3070,0.652,2626,0.661,3402,0.529,3400,0.793,,,,,,,,,,,,
Iracema (CE),3070,0.652,3664,0.597,1350,0.632,5094,0.733,,,,,,,,,,,,
São Martinho da Serra (RS),3070,0.652,2667,0.659,4047,0.496,792,0.848,,,,,,,,,,,,
Guarinos (GO),3070,0.652,3562,0.604,2707,0.563,2407,0.815,,,,,,,,,,,,
Moreno (PE),3070,0.652,3478,0.61,2690,0.564,2899,0.805,,,,,,,,,,,,
Caraá (RS),3070,0.652,2626,0.661,3883,0.505,1647,0.83,,,,,,,,,,,,
Silveirânia (MG),3070,0.652,2924,0.645,3774,0.511,1128,0.841,,,,,,,,,,,,
Jati (CE),3090,0.651,4403,0.562,1308,0.634,3897,0.776,,,,,,,,,,,,
Crucilândia (MG),3090,0.651,2789,0.653,3634,0.518,2357,0.816,,,,,,,,,,,,
Bacabal (MA),3090,0.651,3334,0.619,2133,0.591,4661,0.753,,,,,,,,,,,,
Periquito (MG),3090,0.651,3734,0.593,2888,0.555,1238,0.839,,,,,,,,,,,,
Taquaraçu de Minas (MG),3090,0.651,2971,0.643,3480,0.525,2259,0.818,,,,,,,,,,,,
São Geraldo (MG),3090,0.651,2732,0.656,3847,0.507,1603,0.831,,,,,,,,,,,,
